,ACTIONS,GRADE
37,7,9
38,11,9
39,5,9
61,8,7
62,10,7
63,25,7
64,7,7
66,9,7
70,10,7
72,9,8
73,5,8
81,8,1
83,6,1
108,5,9
111,6,9
113,5,10
134,6,7
139,6,8
144,5,3
148,7,4
150,5,4
154,5,5
175,6,9
178,6,10
182,5,11
186,6,12
190,6,6
191,11,6
198,17,7
199,9,7
202,5,7
204,6,8
205,19,8
209,8,2
214,6,4
221,6,5
227,5,7
265,10,7
269,5,8
273,15,9
274,5,9
275,29,9
276,9,9
277,7,9
279,9,9
284,5,9
285,12,9
288,22,10
289,32,10
291,6,10
294,9,10
295,15,10
296,5,11
298,12,11
299,12,11
303,5,11
304,5,11
307,6,12
316,5,6
317,6,6
318,46,6
319,17,6
322,5,6
323,14,6
325,7,6
328,12,7
330,11,7
334,5,7
338,17,8
340,6,8
343,8,8
349,5,5
359,12,4
360,8,4
363,8,5
364,12,5
371,12,3
372,20,3
377,25,4
379,10,4
382,16,4
384,14,5
385,6,5
390,10,5
393,15,3
396,10,4
399,5,4
407,7,1
409,12,2
418,22,-1
436,7,0
443,9,2
444,5,2
466,5,0
528,9,3
534,6,9
535,26,9
538,8,10
540,10,10
541,9,10
544,7,11
545,11,11
551,8,12
556,5,6
557,5,7
563,7,8
564,7,8
570,8,0
601,7,9
612,7,12
614,5,8
616,13,9
618,7,9
619,6,9
623,11,10
624,5,11
627,7,12
629,6,6
630,23,6
631,6,6
634,19,7
636,28,7
638,6,7
639,13,8
641,33,8
644,13,8
649,7,5
651,6,5
656,5,9
662,5,11
672,7,6
676,6,6
681,7,7
688,9,8
690,8,8
699,5,5
708,6,5
709,6,9
710,10,9
712,6,9
713,6,9
715,16,9
717,14,10
718,5,10
719,10,10
724,8,11
726,5,11
728,6,11
730,7,12
732,7,12
734,7,6
739,13,6
746,19,7
754,12,8
767,6,4
772,6,5
775,9,5
776,8,5
777,8,5
786,5,11
814,5,10
820,7,9
823,8,9
826,6,10
828,9,10
839,6,6
841,5,6
842,10,6
846,12,7
847,17,8
848,16,8
864,8,9
865,10,9
866,5,9
867,9,9
869,41,9
870,12,9
871,13,9
874,5,9
876,5,10
879,6,10
880,7,10
881,7,10
883,12,10
889,10,11
892,7,12
899,7,9
900,13,9
902,41,9
903,11,9
906,8,9
909,15,10
910,7,10
911,13,10
918,6,11
919,11,11
926,7,12
943,5,7
945,27,7
946,10,7
